NEvent,1_1_t,1_2_t,1_3_t,1_4_t,2_1_t,2_2_t,2_3_t,2_4_t,3_1_t,3_2_t,3_3_t,3_4_t,4_1_t,4_2_t,4_3_t,4_4_t,5_1_t,5_2_t,5_3_t,5_4_t,6_1_t,6_2_t,6_3_t,6_4_t,7_1_t,7_2_t,7_3_t,7_4_t,8_1_t,8_2_t,8_3_t,8_4_t,9_1_t,9_2_t,9_3_t,9_4_t,nClusters,mTheta,theta,mPhi,phi
362208,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,16.445000000000164,57.557000000000244,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,62.95100000000002,-1.0,95.11999999999989,35.322000000000116,52.16000000000031,39.478000000000065,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3,,60.01,,213.99
372269,50.878000000000156,77.95000000000027,20.669000000000324,36.24800000000005,-1.0,-1.0,-1.0,-1.0,128.88900000000012,56.153999999999996,4.29300000000012,24.945000000000164,-1.0,-1.0,-1.0,-1.0,28.521000000000186,21.51700000000028,-1.0,32.89300000000003,30.378999999999905,25.72900000000027,-1.0,0.0,42.003000000000156,78.15000000000009,33.17000000000007,31.4670000000001,-1.0,-1.0,-1.0,-1.0,46.13200000000006,30.590000000000146,13.309000000000196,32.63799999999992,6,43.4525241005893,42.34,229.80730428772446,241.66
374196,98.54600000000028,26.98700000000008,0.0,62.51000000000022,79.625,66.16100000000006,35.91700000000037,79.05000000000018,-1.0,-1.0,-1.0,-1.0,60.51700000000028,55.19600000000037,-1.0,-1.0,90.66300000000001,109.75700000000006,37.04200000000037,57.55000000000018,-1.0,-1.0,-1.0,-1.0,55.970000000000255,69.78600000000006,47.45000000000027,-1.0,57.31100000000015,60.08100000000013,-1.0,17.981000000000222,141.12000000000035,56.45400000000018,28.720000000000255,-1.0,7,54.00997447015535,46.93,257.9085761276948,236.13
381427,54.32099999999991,40.860999999999876,-1.0,100.80799999999999,71.75199999999995,34.20499999999993,59.56399999999985,74.27999999999975,-1.0,0.0,11.378999999999905,50.25,39.866999999999734,21.985999999999876,54.554999999999836,-1.0,50.628999999999905,21.41300000000001,145.192,69.35199999999986,-1.0,-1.0,-1.0,-1.0,79.23399999999992,40.22699999999986,56.771999999999935,412.4409999999998,-1.0,-1.0,-1.0,-1.0,-1.0,15.90899999999965,46.741999999999734,67.86799999999994,7,45.017256541074985,47.3,151.0051636711948,123.73
387307,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,146.73099999999977,0.0,-1.0,131.05199999999968,-1.0,-1.0,-1.0,-1.0,1,,52.26,,208.3
402616,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,337.61400000000026,352.71699999999987,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,,56.73,,163.49
404140,78.72200000000021,77.69999999999982,23.96199999999999,104.45899999999983,-1.0,-1.0,-1.0,-1.0,32.71300000000019,0.0,199.82499999999982,83.38799999999992,-1.0,-1.0,-1.0,-1.0,-1.0,95.08399999999983,-1.0,85.14499999999998,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3,72.3139497955804,47.36,136.58984089980532,213.73
410236,49.10100000000011,24.608999999999924,0.15799999999990177,27.416999999999916,43.44999999999982,28.88799999999992,0.0,21.460000000000036,76.37199999999984,54.103999999999814,7.264000000000124,24.623999999999796,-1.0,-1.0,-1.0,-1.0,58.240999999999985,36.62300000000005,1.5209999999997308,26.621999999999844,33.610999999999876,15.409000000000106,7.911999999999807,-1.0,40.659999999999854,48.88200000000006,17.75,15.241999999999734,44.65700000000015,20.587999999999738,8.790999999999713,22.539999999999964,41.20899999999983,26.4699999999998,18.472999999999956,21.23199999999997,8,45.61280873730186,46.53,229.24528831639992,230.44
418305,49.73600000000033,-1.0,0.0,27.45600000000013,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,61.72352617886361,59.7,220.96503196286352,213.95
425993,34.43299999999999,-1.0,-1.0,4.472000000000207,-1.0,47.74200000000019,41.5,34.972999999999956,-1.0,-1.0,-1.0,-1.0,47.370000000000346,-1.0,52.07900000000018,0.0,51.82100000000037,47.172000000000025,-1.0,8.919000000000324,-1.0,-1.0,-1.0,-1.0,49.297000000000025,66.90800000000036,43.81700000000001,-1.0,-1.0,-1.0,36.17000000000007,41.263000000000375,73.44399999999996,41.20100000000002,-1.0,48.9640000000004,7,41.67631930970013,48.67,258.0702786830417,241.2
452497,37.399999999999636,13.846999999999753,37.59999999999991,60.361999999999625,48.80600000000004,28.677999999999884,41.1869999999999,65.471,30.49599999999964,0.0,27.51800000000003,55.20199999999977,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,55.840999999999894,33.722999999999956,35.4399999999996,72.20499999999993,44.25199999999995,35.03099999999995,36.097999999999956,-1.0,-1.0,-1.0,-1.0,-1.0,5,42.12408397171045,40.53,151.79938545248956,146.55
461582,-1.0,-1.0,-1.0,-1.0,36.61000000000013,24.0920000000001,43.99299999999994,61.27800000000025,43.846000000000004,20.516000000000076,89.49800000000005,87.1510000000003,37.84900000000016,28.701000000000022,63.71300000000019,84.98000000000002,35.95600000000013,24.335000000000036,57.77500000000009,73.90200000000004,39.45499999999993,15.360000000000127,43.728000000000065,76.08699999999999,47.77300000000014,14.945999999999913,37.91200000000026,67.65700000000015,41.01700000000028,36.69900000000007,66.46000000000004,84.52300000000014,22.28099999999995,0.0,35.36000000000013,-1.0,8,45.44723410995391,44.38,112.32593709205943,110.64
473894,25.04399999999987,24.409000000000106,52.43899999999985,73.88999999999987,31.083000000000084,29.91300000000001,60.75999999999976,73.22499999999991,31.661999999999807,30.385999999999967,73.47199999999975,84.19799999999987,33.36400000000003,33.59299999999985,66.36999999999989,71.46000000000004,25.427999999999884,0.0,52.74399999999969,51.33199999999988,30.215999999999894,16.603000000000065,45.32699999999977,51.35500000000002,26.766999999999825,175.09400000000005,20.909000000000106,54.766999999999825,27.074999999999818,11.371000000000095,44.81700000000001,57.36200000000008,32.14599999999973,18.768999999999778,58.37599999999975,68.14100000000008,9,45.212441337924176,40.89,105.17581634092707,116.19
