RUN	Event	Teta	Fi	Nview	NviewCorr	Sdet	Dens	DensCorr	NgoodPMT	NhitPMT	SumNpeGoodCorr	SpecEnDep	NupSCT	NdnSCT
810	755358	53.73	157.66	51	53.4005	32.0749	1.5994	1.44656	520	517	56212	38859	5	2
810	786742	42.18	219.66	7	7.00621	25.637	0.191372	0.193946	520	436	13262.9	68384.6	3	2
810	844607	52.84	129.67	5	5.00226	28.8327	0.100659	0.10298	520	326	5469.1	53108.5	1	0
810	849578	52.4	107.51	10	10.0181	21.2494	0.372627	0.372683	520	488	29784.4	79918.9	3	2
810	854543	47.29	208.77	5	5.00226	29.0667	0.0998484	0.102151	520	363	7074.31	69253.6	2	1
810	865027	42.56	205.41	6	6.00391	26.6149	0.146681	0.149347	520	262	4370.76	29265.7	0	0
810	874771	47.06	232.83	5	5.00226	25.7226	0.112829	0.115431	520	399	9277.18	80370	2	0
810	887059	43.47	211.64	6	6.00391	26.9807	0.144693	0.147323	520	490	19100.5	129651	4	1
810	905625	65.72	219.32	5	5.00226	35.7251	0.0812387	0.0831121	520	339	6764.79	81393.6	0	0
810	919735	60.87	222.35	12	12.0313	33.611	0.295477	0.293107	520	447	16191.1	55239.4	0	0
810	928168	47.39	244.32	5	5.00226	22.5518	0.128693	0.131661	520	331	6082.29	46196.7	1	0
810	937074	53.41	227.06	6	6.00391	29.8004	0.131002	0.133383	520	205	1977.29	14824.1	0	0
810	945731	57.16	209.2	7	7.00621	33.5646	0.146172	0.148138	520	342	5867.98	39611.6	1	0
810	966573	50.86	148.43	7	7.00621	30.6943	0.159841	0.161991	520	367	7062.24	43596.6	0	2
810	967456	59.74	116.24	5	5.00226	27.1494	0.1069	0.109365	520	302	5167.06	47246.1	0	0
810	967660	41.2	123.98	5	5.00226	22.2041	0.130709	0.133723	520	418	9877.48	73865.3	3	0
810	983078	44.09	158.15	14	14.0497	27.3521	0.436883	0.430033	520	511	54012.6	125601	13	0
810	989347	48.59	137.01	8	8.00926	28.4016	0.208061	0.209907	520	389	10969.6	52259.2	0	1
810	1006860	42.92	217.49	5	5.00226	26.2607	0.110517	0.113066	520	410	11306	99994.7	0	0
810	1011243	48.93	126.86	6	6.00391	26.48	0.147428	0.150108	520	301	4664.57	31074.7	1	0
810	1014784	45.01	237.43	6	6.00391	23.6221	0.165265	0.168269	520	379	9000.04	53486.1	1	2
810	1016768	49.06	158.64	7	7.00621	29.8593	0.164311	0.166521	520	334	4684.8	28133.4	2	0
810	1033780	64.84	207.76	5	5.00226	36.4313	0.0796641	0.0815011	520	323	5566.65	68301.5	2	0
810	1040475	45.55	216.11	7	7.00621	27.7602	0.176735	0.179112	520	470	24271.4	135509	1	0
810	1053365	43.35	232.85	6	6.00391	23.9825	0.162782	0.165741	520	384	9346.85	56394.5	4	1
810	1064474	45.41	214.81	6	6.00391	27.7979	0.140439	0.142992	520	181	1977.11	13826.7	0	0
810	1066796	60.46	150.88	5	5.00226	34.8591	0.083257	0.0851769	520	412	11647.3	136742	0	0
810	1073017	53.41	106.44	15	15.0611	21.1043	0.614143	0.602273	520	468	31475.3	52260.8	3	2
810	1076933	42.11	233.98	6	6.00391	23.1252	0.168817	0.171885	520	244	2748.96	15993	1	0
810	1083052	44.36	237.68	12	12.0313	23.2613	0.426945	0.42352	520	500	29397.4	69412.1	7	0
810	1110951	49.81	159.23	10	10.0181	30.1914	0.262263	0.262303	520	411	10006.9	38150.2	1	1
810	1114308	55.4	235.91	6	6.00391	28.3475	0.137716	0.140219	520	235	2460.83	17549.9	2	0
810	1124325	47.36	150.11	6	6.00391	29.0688	0.134299	0.13674	520	343	5192.2	37971.4	3	0
810	1127736	61.46	254.56	7	7.00621	22.9192	0.214065	0.216944	520	432	11693.9	53902.8	0	0
810	1134796	59.6	140.52	5	5.00226	33.6095	0.0863525	0.0883438	520	195	2124.61	24049.3	0	0
810	1148233	54.54	131.39	15	15.0611	29.9276	0.433081	0.424711	520	463	17094.4	40249.5	2	0
810	1156357	50.11	211.76	5	5.00226	30.3298	0.09569	0.0978967	520	307	6271.67	64064.2	3	0
810	1158280	41.33	215.84	8	8.00926	25.5529	0.231257	0.233308	520	431	12131.1	51996.2	0	0
810	1187879	45.57	143.57	5	5.00226	27.7411	0.10462	0.107032	520	443	13013.6	121586	3	0
810	1200394	46.93	222.78	10	10.0181	27.6396	0.286476	0.28652	520	472	18175.2	63434.5	3	2
810	1201588	42.92	195.45	5	5.00226	26.2792	0.110439	0.112986	520	354	5911.27	52318.5	1	0
810	1203942	40.44	207.3	5	5.00226	25.4428	0.11407	0.116701	520	253	3616.32	30988	0	1
810	1208593	54.84	160.78	6	6.00391	32.3821	0.120558	0.122749	520	272	3757.9	30614.5	0	0
810	1220700	43.76	138.1	5	5.00226	26.1815	0.110852	0.113408	520	314	4618.99	40729	0	0
810	1224438	40.61	149.9	9	9.01319	25.4807	0.271311	0.272516	520	500	29167.2	107029	5	2
810	1227956	41.7	145.99	7	7.00621	25.8898	0.189504	0.192052	520	465	13872.9	72235.2	7	1
810	1234646	52.93	203.91	5	5.00226	31.767	0.091361	0.0934678	520	182	2029.2	21710.1	0	0
810	1235591	55.34	162.76	8	8.00926	32.4271	0.182232	0.183849	520	330	5942.46	32322.5	0	2
810	1235642	46.05	250.17	5	5.00226	19.9541	0.145447	0.148801	520	284	3241.65	21785.1	1	2
810	1247188	43.95	118.94	8	8.00926	22.1299	0.267026	0.269395	520	474	19448.5	72193.1	2	0
810	1253380	44.31	207.12	5	5.00226	27.5541	0.105329	0.107758	520	338	6747.87	62620.3	0	0
810	1256049	42.94	217.42	5	5.00226	26.2782	0.110444	0.112991	520	194	1913.1	16931.5	1	0
810	1258266	40.34	250.39	5	5.00226	17.631	0.164611	0.168407	520	247	2849.44	16920	1	0
810	1266764	47.95	220.94	5	5.00226	28.4009	0.102189	0.104546	520	354	7145.95	68352.5	3	0
810	1277360	57.78	143.97	5	5.00226	33.3404	0.0870494	0.0890567	520	256	2835.12	31835	1	0
810	1302942	58.92	115.54	6	6.00391	26.6241	0.14663	0.149296	520	427	12417.8	83175.8	0	1
810	1305641	45.88	143.8	5	5.00226	27.9202	0.103949	0.106346	520	497	91041.8	856093	9	0
810	1311405	56.66	152.8	31	31.5391	33.4029	0.881333	0.824818	520	503	32118	38939.5	1	1
810	1312024	48.66	113.26	5	5.00226	22.2037	0.130711	0.133725	520	354	5986.21	44765.1	0	0
810	1318424	78.44	142.56	5	5.00226	39.0334	0.0743534	0.076068	520	265	4399.6	57837.8	0	0
810	1325005	49.19	220.59	7	7.00621	29.04	0.168946	0.171218	520	193	2573.19	15028.7	0	0
810	1328756	59.42	145.96	5	5.00226	34.1707	0.0849343	0.0868929	520	320	5229.2	60179.8	0	0
810	1336764	61.26	236.68	11	11.0241	30.1384	0.296103	0.294919	520	470	18382.4	62330.3	1	0
810	1337791	44.47	110.1	8	8.00926	19.4492	0.30383	0.306526	520	451	16986.9	55417.4	3	1
810	1343168	52.82	142.2	5	5.00226	31.0576	0.0934477	0.0956026	520	289	4641	48544.7	1	0
810	1350694	68.63	241.7	5	5.00226	30.386	0.095513	0.0977155	520	409	13154.7	134623	1	0
810	1359095	43.14	120.92	8	8.00926	22.3275	0.264663	0.267011	520	341	8558.08	32051.4	2	0
810	1370174	47.98	223.6	6	6.00391	28.015	0.139351	0.141884	520	295	7084.43	49931.3	0	0
810	1376864	59.31	229.68	5	5.00226	31.4868	0.092174	0.0942995	520	191	2206.42	23398	0	0
810	1382808	47.58	233.29	14	14.0497	25.8452	0.462356	0.455106	520	467	24049	52842.7	11	0
